AGO	io, kion oni faras
GIĈETO	fenestreto en muro, kie oni aĉetas, ekzemple biletojn
GLUO	fluaĵo, per kiu oni fiksas ion al io alia
GRUMBLI	murmuri malkontente
KABANO	iom kruda dometo
KAJERO	maldika libreto
KALVA	senhara
KASO	monkesto
KATO	hejmbesto kun belaj korpharoj
KOMBINI	kunmeti
KOOPERATIVO	societo kunaganta
KUBUTO	mezpunkto de la brako
KULTURI	prilabori la teron
KUPEO	parto de la vagono
LACA	bezonanta ripozon
LAGO	etendaĵo da akvo, ĉiuflanke ĉirkaŭata de tero
LINIO	kontinua streko
MENUO	listo de haveblaj manĝaĵoj
MIOPA	havanta neordinare mallongan vidpovon
NAJLO	larĝkapa metala pinto
NAZO	korpoparto, per kiu oni flaras
OLDA	maljuna, aŭ malnova
OPONI	kontraŭstari
PARKERE	per la memoro
PASAĜERO	veturanto
PINTO	pika ekstremo
PLORI	montri doloron per larmoj
PRINCIPO	fundamenta veraĵo
RANDO	ĉirkaŭa ekstremaĵo de io
RESTORACIO	loko, kie oni povas manĝi se oni pagas
SEKA	enhavanta neniom aŭ malmulte da akvo
SKRAPI	iom akre froti ion
STACIO	loko, kie haltas publikaj veturiloj
STREKI	desegni linion per unu movo de skribilo
STRIO	longa mallarĝa peco kun paralelaj randoj
STUDI	diligente esplori
SUFERI	senti doloron
SUFOKI	mortigi per senigo de aero
SUMO	ĉiuj partoj kune, kiel tuto
SURDA	nepovanta aŭdi
SVARMI	esti tre multnombra
TRAJNO	vagonaro kun lokomotivo
VAGONO	veturilo, kiun trenas lokomotivo
VITRO	malmola, travidebla, rompebla substanco
VULPO	flavruĝa hundosimila rabobesto
ADVOKATO	persono, kiu defendas alian en juĝejo
AERO	tio, kion oni spiras
ANIMO	spirito de la personeco
ARANĜI	meti laŭorde, ordigi
ASPIRI	fervore celi, forte deziri
ATESTI	pruvi, montri
ATMOSFERO	sentiĝo de la cirkonstancoj
BARBO	hararo sur la mentono
CITI	laŭvorte rediri aŭ reskribi
EKSPERIMENTO	kontrolata provo pruvi ion
ELOKVENTA	povanta facile kaj flue paroladi
EMBARASO	ĝena sento
ENTUZIASMO	fervorego
FERVORO	ardo por io
FESTO	speciale aranĝita plezurkunveno
FLUI	facile trapasi de unu loko al alia
FONDI	starigi organizon
FONTO	origino, deveno
GENIO	elstara talentego
GENTO	popoleto
HARMONIO	agrablaj samtempaj sonoj; do: agrabla kunestado
IDEALA	perfekteca
INSPIRI	estigi stimulan senton en ies spirito
INSTIGI	kuraĝigi ion, ke li faru ion
KATALOGO	ordigita listo
KLASIKA	tradicia
KODO	sistemo de senanimaj simboloj
KOLEGO	amika kunlaboranto
KOLEKTIVO	aro da personoj kunlaborantaj
KOMERCI	profesie vendi kaj aĉeti
KONCEPTO	abstrakta kaj ĝenerala ideo
KONGRESO	kunveno por diskuti komunan temon
KONTAKTO	interrilato
KORESPONDI	interinterŝanĝi leterojn
KREI	fari, estigi
KURACI	resanigi malsanulojn
LIGI	ĉirkaŭŝnuri, kunŝnuri
LITERATURO	tuto de la verkoj de unu kulturo
MIRAKLO	okazaĵo ne klarigebla laŭ la fizikaj leĝoj
MISTERO	io nekonata, nekomprenata
MORALO	konduto de la spirito
NASKI	estigi idon
OFICIRO	armea superulo
ORGANIZI	detale aranĝi ion
OVACIO	entuziasmegaj aplaŭdoj
PASTRO	religia funkciulo
PATRIOTO	homo, kiu arde amas sian patrolandon
PENTEKOSTO	kristana festo, al kiu ligiĝas la ideo peri miraklan interkornpreniĝon de diverslingvuloj
POEZIO	arto verki versaĵojn
PRETENDI	aserti sian rajton pri io
PROFITI	ricevi utilon aŭ gajnon de io
PROPAGANDO	disvastigado de informoj
PSIKOLOGIO	scienco pri is homa menso
REGNO	lando kiel politika tuto
RIMEDO	tio, kio servas por atingi celon
RIPETI	denove diri aŭ fari ion
RONDO	cirklo; societo
SALONO	ĉambrego
SCIENCO	sistema tutaĵo de konoj
SENTIMENTO	sentema animstato
SIGNIFO	figuro, kiu anstataŭas aŭ reprezentas abstraktaĵon
SOLENA	ceremonieca
SOLVI	trovi la respondon aŭ la rimedon
SONI	aŭdigi
SPECO	komunkarakteriza grupo
SPIRITO	mensa aŭ animeca tuto de la homo
TALENTO	aparta spirita kapablo
TEATRO	konstruo, en kiu oni prezentas spektaklojn
TEKNIKO	procedaro de arto aŭ medio
UNIKA	unusola
UNIVERSALA	tutmonda, ĉie estanta
VERKI	krei ion, plejofte libron, per arto aŭ scienco
AŬTORITATO	ordonpovo
BARBARO	necivilizita homo
BUTERO	grasaĵo farita el lakto
DEKLARI	publike sciigi
DILIGENTA	konstante kaj zorge laborema
DISCIPLINO	ordemo kaj obeemo
FORKO	ilo kun dentoj uzata por levi ion
FRITI	kuiri mangagon en graso
HAZARDO	neantaŭvidebla okazo
INTERPRETI	transklarigi
INVENTI	elpensi ion novan
KAFO	speco de trinkaĵo
KONDUTI	agi laŭ certa maniero
LERTA	tre kapabla facile fari ion
MASTRO	posedanto, ordonanto
NERVOZA	malpacienca
NESTO	konstruaĵo de birdoj
OFICO	okupo
PLUMO	tio, kio are kovras birdokorpojn (ankaŭ: skribilo)
PRELEGO	instrua parolado
RIPROĈI	malmilde mallaŭdi iun
SALTI	rapide levi sin de la tero
SUKERO	dolcaĵo, generale blanka
TERORO	terura kaj kruela regado
ADMONI	averti iun, ke li ne faru ion
AKRA	tranĉ- aŭ pik-kapabla
AKSO	limo, ĉirkaŭ kiu turniĝas korpo
AKTO	parto de dramo
AKUZI	aserti iun kulpa pri io
ANGULO	spaco inter du renkontaj surfacoj: do: nerimarkata loko
BAGATELO	afero neserioza, negrava
BEZONI	esti en stato, ke io mankas
BLINDA	nevidpova
BRANDO	forta alkoholaĵo
CERBO	pensorgano
DETALO	malgranda parto
DIAMANTO	malmola valorŝtono
DIFINI	precize klarigi la signifon de io
DRONI	morti, sufokiĝante en akvo
EGOISMO	memamo
EPOKO	jararo
ESPLORI	zorge peni por ekkoni ion
FILOZOFIO	scienco pri la vivprincipoj
FINGRO	ekstremaĵo de la mano
FUNDO	plej malsupra parto
GLOBO	sfera objekto
GRAVA	grandinflua
GUTO	globeto de fluaĵo
HONORARIO	pago por servo
INCITI	kolerigi
INTELEKTO	kapablo pensi kaj kompreni
INTIMA	profunde komunsenta kaj senĝena
JUSTA	laŭmerita
KAMARADO	amika kunulo
KAPABLA	povanta fari ion
KARAKTERO	individua trajtaro
KAŬZO	tio, pro kio io okazas
KELNERO	servisto en restoracio
KLIMATO	tutajo de la veteraj kondiĉoj
KONDAMNI	deklari iun kulpa
KONJEKTI	havi opinion pri io
KONTENTA	havanta ĉion, kion oni dezirus
KREVI	subite rompiĝi pro interna premo
KRIMO	ago kontraŭleĝa
KULPA	intence aŭ konscie plenuminta ion riproĉindan
LANGO	movebla karnaĵo en la buŝo
LAŬDI	esprimi favoran opinion
LECIONO	tio, kion oni lernigas
LIRO	speco de monero
MEDIKAMENTO	saniga rimedo
MENSOGI	diri malveron
OBJEKTO	io konceptebla aŭ perceptebla
PARENCO	membro de la sama familio
PENTI	senti bedaŭron
PEREI	tute neniiĝi
POSTENO	ofico
POZICIO	loko, sur kiu io estas
PUNI	kaŭzi al iu suferon kompense de ties malbonfaro
RABI	perforte forpreni ion, kio apartenas al alia
SANA	normale funkcianta
SANGO	ruĝa fluaĵo en la korpo
SITUACIO	tuto de 1a kondiĉoj kaj cirkonstancoj
SKUI	rapide movi tien kaj reen
SOCIO	tuto da homoj kunvivanta
STULTA	malsaĝa
UTILA	uzinda
VAKI	esti neokupata
VERSI	fluigi fluaĵon el ujo
VERVO	spirita fervoro
ADRESO	loko, kie iu loĝas
AKIRI	havigi al si
AMARA	maldolĉa
AMPLEKSO	grandeco
ANONIMA	sennoma
APLOMBO	granda memfido
BLONDA	helkolora
