AGO	io, kion oni faras
AVANGARDO	grupo, kiu iras la unua
BAZO	esenca principo
BREMSO	haltigilo
CIRKONSTANCO	fakto rilate iun situacion
DEDIĈI	plene fordoni al
DEFINITIVA	decida, finofara
DEKADENCO	iompostioma ruiniĝo
DEKLARACIO	oficiala anonco aŭ sciigo
DEMAGOGIO	popolekscita agado de potencavidaj politikistoj
DEMOKRATO	iu, kiu kredas priegalrajteco de ĉiuj homoj
DISKRIMINACIO	maljusta distingado
DISKUTI	interargumenti
DISTINGI	rimarki diferencon inter homoj aŭ ideoj
DIVERĜI	malproksimiĝi unu de la alia
DOKTRINO	akceptata principaro
EFEKTIVA	reale ekzistanta
EKONOMIO	administrada sistemo, ŝparado
EKSPLODI	diskrevi
EKZAKTA	severe preciza
ELITO	elektitaro
EMOCIO	kortuŝo
EVOLUI	disvolviĝi
FANATIKA	blinde fervora
FANTAZIO	kaprica imagado
FLAGO	simbola tolaĵo
FLEGI	prizorgi (ekz-e malsanulon)
GRAMATIKO	reguloj aŭ studado de iu lingvo
ĜENERALA	rilata al tutaĵo aŭ plimulto
HIMNO	religia kanto
ĤAOSO	kompleta ordomanko
IMPETI	antaŭenĵetiĝi
IMPULSO	ekpuŝo
INDIVIDUO	unuopa persono aŭ estaĵo
INERTA	senenergia, nemoviĝema
INFORMI	doni sciigojn aŭ klarigojn
INSIGNO	distingiga signo
INSTANCO	decidkapabla aŭtoritato
INVERSA	estanta en mala direkto
KALKULI	nombri, konsideri
KARAKTERIZI	montri ies karakteron
KLERA	instruita
KOALICIO	kunligo de diversaj interesoj por komuna celo
KOHERA	kunteniĝanta
KOMPLOTO	sekreta aranĝo por malicaj celoj
KOMPROMISO	interkonsento de konfliktaj interesoj
KONFLIKTO	aktiva malkonsento
KONKRETA	reale perceptebla, palpebla
KONTRIBUI	doni sian parton al komuna afero
KONVENCIO	akceptita moro
KONVINKI	akceptigi per pruvoj
KOREKTI	ĝustigi eraron
KRIBRI	apartigi pli delikatajn erojn
KRIZO	grave danĝera momento
KULTO	kvazaŭreligia adorado
LIMO	loko, kiu difinas la ekstremon de io
MEDIO	fizika aŭ spirita ĉirkaŭaĵo
MENSO	la spirita, nekorpa parto de homo
METODO	maniero atingi iun celon
MISTIKO	emo kredi je misteraj malklaraj kaj nepruveblaj kaŭzoj kaj efikoj
MODIFI	parte ŝanĝi
MONOLINGVISMO	doktrino pri unu komuna lingvo por ĉiuj
NEOLOGISM	nova vorto
NETA	nekonfuza kaj preciza
NIVELO	grado de alteco
NUTRI	doni manĝaĵon aŭ spiritan subtenon
OBJEKTIVA	senpartia
PACIENCO	eco trankvile atendadi
PARALELA	egaldistanca laŭlonge
PERCEPTI	koni per la sentorganoj
PERFEKTA	tute senmanka
PERIODO	difinita tempodaŭro
PESI	mezuri la pezon
PIONIRO	homo, kiu pretigas la vojon
PLANO	antaŭe decidita aranĝo por fari ion
POLILINGVISMO	plurlingvisma doktrino
PONTO	konstruaĵo por transiri super io
POTENCO	kapablo trudi sian aŭtoritaton
POZITIVA	nepre certa
PRAKTIKA	realigebla
PROGRESI	disvolviĝi antaŭen
PROJEKTO	proponata ideo
PROTOTIPO	la unua, laŭ kiu ĉiuj postaj kreiĝas
PROVIZORA	portempa
PULSO	korbatado
PUŜI	preme delokigi
RACIO	kapablo koncepti principojn
RASO	grupego da homoj samdevenaj
REKOMENDI	favore atentigi pri io
RELIEFO	atentiga distingeco
REVOLUCIO	subita grava ŝanĝiĝo
REZULTO	logika sekvo
ROLO	agado aŭ funkcio (ekz-e de aktoro)
RUTINO	kutimo, kiun oni daŭre kaj senpense ripetadas
SEKTO	aro da personoj aliĝintaj al stranga doktrino
SENTIMENTALA	havanta romantikan sentemon
SINONIMO	vorto samsignifa
SINTEZO	sistemiga rezonado
SKIZO	rapida desegno
SOLIDARA	respondeca ĉiuj pri la aliaj
STADIO	difinita grado de evoluo
STATI	esti en certa kondiĉo
STREBI	energie streĉi la fortojn
ŜANCELI	malfirmigi
TAKSI	difini la valoron de io
TAVOLO	parto de la socio konsiderata kompare kun pli superaj kaj pli malsuperaj partoj
TENDENCO	daŭra inklino al io
TEZO	scienca aserto
TRADICIO	ideo transdonita de pli fruaj generacioj
TRADUKI	transigi de unu lingvo en alian
TRENI	pene tiri post si
U.E.A.	Universala Esperanto Asocio
AKCELI	plirapidigi
AKURATA	ĝustatempa
AŬTOMOBILO	motorveturilo
BOTELO	vitra ujo
BROVO	hararo super la okulo
DEPRIMI	senkuraĝigi
DEVIZO	fremdmona ĉeko
DISTRI	agrable okupi
DUNGI	interkonsenti kun servisto por ricevi lian servadon
ENTREPRENI	komenci la plenumadon de grava tasko
ESTINGI	ĉesigi bruladon aŭ lumadon
EVENTUALA	povanta okazi
FOSFORESKI	lumi en mallumo
HOTELO	loĝejo por vojaĝantoj
INKO	kolora fluaĵo uzata por skribi
KAŬĈUKO	elasta gumo
KOMODO	tirkestaro
KONFIDENCO	sciigo, kiun oni konfidas, kaj kiu ne estu malkaŝota
KONSILI	sugesti farotaĵon
KONTO	komerca kalkulo
KONTURO	ĉirkaŭanta limlinio de io
KRUTA	preskaŭ vertikala
LIPO	buŝrando
LUI	havigi ion por provizora uzado, kontraŭ pago
NEPO	filo de fil(in)o
OBSEDI	premokupi la spiriton
PARALIZI	perdigi la movkapablon
PASPORTO	dokumento rajtiganta vojaĝi eksterlanden
PESTO	epidemia malsano
POLICO	administracio por prizorgi la publikan ordon
PREZO	vendvaloro de objekto
PROVINCO	la lando, ekster la ĉefurbo
RIFO	danĝera roko en la maro
SITUO	situacio
STAMPI	frapreliefigi markon
STARTI	ekiri
STRANDO	sabla marbordo
SUGESTI	proponi, subinspiri
SVELTA	ĉarme kaj elegante maldika
ŜALO	lantuko
ŜILDO	tabuleto surskribita
TAKSIO	aŭtomobilo luebla kun ŝoforo
TERASO	eksterdoma sidejo
TESTAMENTO	skribaĵo, per kiu oni difinas postlasaĵon postmortan
TRINKI	gluti fluaĵon
TRIUMFO	granda venko aŭ sukceso
VALIZO	kofreto
VELURO	mola ŝtofo
VIZIO	imagaĵo, iluzio
ABRUPTA	malagrable subita
ABSURDA	kontraŭa al la saĝo
ANALOGIO	io, kio estas parte simila
ASTRONOMO	homo, kiu studas la ĉielajn fenomenojn
ASTRONOMIO	studo de la ĉielaj fenomenoj
EFEKTO	forta impreso
EKSPANSIO	plietendiĝo
ENERGIO	laborkapabla forto
FIZIOLOGIO	scienco pri la funkcioj de vivantaj estaĵoj
FREKVENCO	nombro de periodoj en unu sekundo
GALAKSIO	stelamasego
GASO	aersimila fluidaĵo
GRAVITO	reciproka altiro de la korpoj
HEROLDO	diskoniganto
HIPOTEZO	provizore akceptata supozo
KEMIO	scienco pri la konsisto de materiaĵoj
KOMPETENTA	kapabla plenumi ion
KONSTELACIO	grupo da steloj
KOSMO	la tutaĵo de tio, kio ekzistas
LENSO	speciala vitrajo tra kiu oni pasigas la lumradiojn
MIKROSKOPO	instrumento por vidigi malgrandegaĵojn
MILIARDO	mil milionoj
NUDA	tute senvesta, nekovrita
PLANEDO	terbulo ĉirkaŭanta sunon
PRISMO	vitraĵo uzata por analizi lumkonsiston
REGISTRI	note enskribi
RELO	longa metalaĵo, sur kiu ruliĝas lokomotivoj ks
SPACO	senfinaĵo, en kiu moviĝas ĉiuj objektoj
SPEKTRO	vico da diversaj koloraj lumradioj
STABILA	neŝanĝiĝema, firma
ŜOVI	puŝe delokigi
TELESKOPO	instrumento por observi malproksimajn objektojn
TOTALA	ĉioma
UNIVERSO	la tuto de ĉio, kio ekzistas
VIBRI	moviĝi tien-reen rapide
ADMINISTRI	prizorgi la funkciadon de grava organizo
AFLIKTI	suferigi
BAMBUO	granda arbeca kano
BARKO	ŝipeto
BELETRO	belliteraturo
BONZO	budaisma pastro
BRANĈO	brako de arbo
BROKATO	teksaĵo ornamita per oraj aŭ arĝentaj fadenoj
BUBALO	speco de granda bovo
CIKONIO	granda longkrura birdo
DESTINI	antaŭfiksi la celon de io
DIAFANA	tralumebla sed netravidebla
DISTRIKTO	administra regiono
EKSTAZO	anima plezurego
FEO	supernatura fabela estaĵo
FENIKSO	fabela birdo kiu renaskiĝas el propra cindro
FLEKSI	kurbigi
FLOSI	resti sur akvo
FLUTO	tubeta muzikilo
FOLIO	maldika verdaĵero; maldika paperpeco k.s
FONTANO	akvoŝprucigilo
FREKVENTI	ofte vizitadi
GEMO	valorŝtono
GITARO	seskorda muzikilo
GRACIA	facilmova, belproporcia
GROTO	artefarita kaverno
HIRUNDO	speco de migrantabirdo
HONORI	trakti respekteme
ĤORO	kantistaro
JADO	verdkolora mineralo
KALENDARO	tabelo montranta la datojn
KATENO	ligĉeno por malliberuloj
KOMPENSI	repagi egalvalore
KONSOLI	mildigi ies ĉagrenon
KONSUMI	malrapide neniigi
KORIDORO	endoma trairejo
KOSTUMO	maniero sin vesti
KRISTALO	tre pura senkolora vitro
MAJESTA	imponaspekta
MANDARENO	altranga ĉina ŝtatoficisto
MUSKO	mola kreskaĵo sur rokoj kaj arboj
NOBELO	altranga persono
ORKESTRO	muzikistaro
PAGODO	templo de aziaj dioj
PAJLO	seka grentrunketo
PARFUMO	agrabla odoro
PENTRI	kolore desegni
PEONIO	speco de floro
PERSIKO	bongusta frukto
PILGRIMI	vojaĝi al sankta loko
PROKRASTI	lasi ĝis pli malfrue
RAVI	ĉarmegi, admirigi
REMI	movi upon per specialaj lignaj iloj
RIZO	nutrograjno kulturata en Azio
SALIKO	eleganta apudakva arbo
SANTALO	arbo kun bonodora ligno
SERPENTO	senpieda rampanta besto
SIGELO	stampilo
STALAGMITO	vertikale staranta rokpintaĵo en kaverno
STALAKTITO	pendanta rokpintaĵo en kaverno
TAPETO	murornamaĵo
TRONO	seĝo de reĝo
TUNIKO	speco de ĝisgenua ĉemizo
VEO	laments krio
VJETNAMIO	lando en sudorienta Azio
ABSOLUTA	senkondiĉa, senescepta, senmanka
AEROLITO	ŝtono falinta surteron el la spaco
AKUŜI	elpuŝi el si idon
AMBASADORO	oficiala reprezentanto de regno eksterlande
AMETISTO	violkolora gemo
AMONIAKO	gaso, NH3
ARMEO	granda militistaro
ARTO	homa kreado, plejofte reprezentanta iel belon
ASTRO	ĉiela korpo
AŬTENTIKA	nepre vera, originala; oficiale certigita
AVIADI	aerveturi
BEBO	infaneto, suĉinfano
BOLŜEVIKO	adepto de komunismo
BRODI	ornami teksajon per fadenaj desegnaĵoj
BUKLO	harvolvaĵo
CENZURI	oficiale kontroli presaĵojn k. a
ĈELO	malgranda konsistaĵero
DEBATO	diskuto laŭ orda maniero
DIAGRAMO	klariga desegno
DIPLOMATO	politikisto, kiu rilatas kun alilandaj registaroj
DRAKO	fabela besto havanta flugilojn kaj ungegojn
DRESI	celkonforme eduki (plejofte bestojn)
EBENA	samnivele plata
EFEMERA	nedaŭra, rapide pasanta
EKSPOZICIO	publika elmontriĝado
EPIDEMIO	disvastigita malsano
EPIZODO	unu flanks agado en rakonto aŭ historio
ESTETIKO	beltaksado
ETAĜO	samnivela parto de domo
FARTI	stati sane
FEKUNDA	fruktodona, naskipova
FELO	besthaŭto
FOKUSO	kunigpunkto de tralensaj lumradioj
FRAZO	vortkunaĵo; parolo belsona sed malmultsenca
FUTBALO	ludo, en kiu oni batas pilkon per la piedoj
FUNGO	speco de kreskaĵo foje manĝebla, foje venena
GENERALO	armeestro
GRAFIKO	arto desegne reprezenti objektojn
GRUNDO	kulturebla tero
HAJLO	glaciiĝinta pluvo
HIDROGENO	senkolora malpezagaso (H)
HOSPITALO	kuracejo
JUPO	virina vesto por la malsupra korpoparto
KANONO	pafilego
KAPITALO	profitodona ricaĵo
KARIKATURO	troigita kvazaŭportreto
KIRLI	rondirigi fluaĵon
KOBALTO	metalo (Co), kies kombinaĵoj blukoloras
KOLONIO	grupo da homoj loĝantaj konstante en lando fremda
KOMENTI	klarigi la signifon de io
KONTRAKTI	interŝanĝi skribitajn promesojn pri io komunue plenumota
KVARCO	tre malmola ŝtono
LABORATORIO	scienca laborejo
LAFO	materio, kiu elfluas el vulkanoj
LAKO	briliga ŝmiraĵo
LERTA	tre kapabla
LOGI	tente altiri
MAJUSKLO	ĉeflitero, granda preslitero
MAMO	elstara brustparto, kiu ĉe inoj donas lakton
MAPO	geografia karto
MARSO	la kvara planedo de nia suno; militodio
MASO	kvanto da materio konsistiganta iun korpon
MERLO	speco de birdo
METIO	manlabora profesio
MINERALO	substanco, kiu estas nek besta nek vegetaĵa
MINISTERIO	ministrejo
MODO	aktuala kutimo rilate vestojn ks
MURDI	krime mortigi
NITROGENO	senkolora gaso (N)
NODO	ŝnurkunligaĵo
OKSIGENO	senkolora gaso (O), necesa por spirado
OPRESI	tirane premegi
ORBITO	vojo de unu astro ĉirkaŭ alian
ORDENO	honora signo
PACIFIKO	la oceano inter Ameriko kaj Azio
PAPO	estro de la katolika eklezio
PERFIDI	mallojale trompi
PERTURBO	malordo en korpo, socio, ks
PLANTI	meti vegetaĵon en la teron por ke ĝi kresku
PLATA	senreliefa
POLIOMJELITO	speco de epidemia malsano
PROBABLA	verŝajna
RIBELI	rifuzi obeon
RITMO	perioda reveno de akcentoj
SAGO	akrapinta pafaĵo
SATELITO	korpo, kiu ĉirkaŭiras planedon
SEKURA	estanta en sendanĝera loko
SKALPO	haŭto sur la kaposupro
SLOGANO	konciza propaganda frazo
SMERALDO	verdkolora gemo
SPEKTROSKOPO	ilo, per kiu oni studas spektron
SPIONO	homo, kiu sekrete observas
STATISTIKO	cifertabeloj pri iu temo
STERILA	nekapabla naski
STILO	karakteriza maniero esprimi siajn pensojn aŭ fari ion
STRIKO	ĉeso de laboro por subteni iun postulon
STRIKTA	severe preciza
STRONCIO	flava metalo
STURMI	kurataki
ŜALTI	funkciigi elektron
ŜIKA	laŭmode bongusta
ŜTATO	regno
ŜUTI	verŝi substancon nefluidan
TANKO	milita aŭtomobilego
TEMPERATURO	grado de varmo
TERITORIO	difinita lando sub iu aŭtoritato
UNGO	malmola kreskaĵo sur fingropinto
URANIO	kemia elemento (U)
VAKUO	malplena spaco
VARBI	instigi al aligo
VARII	prezenti sinsekvajn diversajn ŝanĝigojn
VERMO	malgranda senpieda besto
VOLBO	arkforma plafono
VUNDI	difekti korpon
ALEO	(ĉi tie) mallarĝa trapasejo
ALUDI	nerekte paroli pri io
AMBOSO	feraĵo, sur kiu oni batas metalon
AVIZO	anonco, informo
BALONO	kaucuka ludilo, kiun oni plenigas per aero aŭ malpeza gaso
BAZARO	vendejo
BLAGO	ŝerca mensogo
BOJI	hunde bleki
BUDO	ligna butiketo
CIRKO	rondforma spektaklejo
DISPUTI	malpace diskuti
EKSKLUZIVA	esceptanta ĉion alian
EKZORCI	preĝe forpeli diablon
ESKAPI	sukcese forkuri aŭ eviti
FARSO	neserioza teatraĵeto
FASKO	kunligita aro
FAŬKO	besta buŝego
FILANTROPO	bonfaremulo
FORMATO	dimensio de libro (k.s.)
FUNEBRO	malĝoja sento pro ies morto
GALIMATIO	sensencaĵo, konfuzaĵo
GORĜO	interno de la kolo
HISTERIO	konvulsia nerva malsano
IDIOTO	homo malinteligenta
INICIATNO	entreprenemo
JUKI	kaŭzi malagrablan senton en la haŭto
KALSONO	subpantaloneto
KORNO	malmola kapelstaraĵo
KRETENO	malspritegulo
KRIĈI	alte kaj are krii
KUNIKLO	malgranda rapidkura longorela besto
KVAKI	bleki kiel ekz. rano
LEONO	granda kateca rabobesto
MAGIO	arto fari mirindaĵojn
MANDATO	rajtigilo
MARTELO	peza batilo
MURMURI	aŭdigi malfortan obtuzan bruon
NEGOCO	monprofita afero
OFERTI	komerce proponi
OPORTUNA	facile uzebla; bone adaptita por sia celo
PAKI	pretigi ion por transportado
PANIKO	subita ektimego
PAPILIO	bela grandflugila insekto
PIA	religie respektema
PRUNTI	disponigi aŭ akcepti ion poste redonotan
PSEŬDA	falsa, nur ŝajna
PUFA	plenblovita; plenŝtopita
PUNDO	brita monunuo
REDUKTI	dimensie malgrandiĝi
REMBURI	pufigi, enŝtopante ion
RITO	religia ceremonio
SARKASMO	akra moko
SKLAVO	homo senkondice je dispono de iu mastro
SPONGO	malpeza truplena materio, uzata por viŝi aŭ sorbi
STANDO	montrejo en ekspozicio
SVENI	perdi momente la konscion
ŜARĜI	meti pezan objekton sur ion
ŜRUMPI	malŝveli, malkreski
ŜTOPI	tute pleniĝi
ŜULDI	devi laŭleĝe pagi iun sumon
TUSI	spasme elpuŝi aeron el la pulmoj
URTIKO	vegetaĵo, kies folioj estas kovritaj de pikiletoj
VAMPIRO	sangosuĉa fabela monstro
VARO	komercaĵo
VIANDO	karno uzata por nutrado
VOLVI	ĉirkaŭmeti ion flekseblan ĉirkaŭ alian objekton
(GELT)	neesperanta vorto, slange uzita = mono
(ZO'O)	slanga mallongigo = best ĝardeno
ABOMENI	malamegi
AKORDO	sameco de opinioj inter pluraj personoj
ANĜELO	ĉiela di-servanto
BENKO	longforma sidilo
BURĜONO	ŝvelaĵo sur vegetaĵo, el kiu formiĝas folioj aŭ floroj
FIRMAMENTO	ĉiela arkaĵo
IMPLIKI	malorde ĉirkaŭvolviĝi
INDIGNI	senti koleron kaj malestimon
KAJTO	fluganta infanludilo
KRABO	manĝebla marestaĵo kun du pinĉilegoj
KVADRATO	ortangulajo, kies kvar linioj estas samlongaj
MILDA	malsevera
OSTO	malmola substanco, kiu formas skeleton
PAPERO	folio, sur kiu oni skribas
PEKINO	la ĉefurbo de Ĉinujo
PERSEKUTI	konstante turmenti
PLUMBO	tre peza, griza metalo
RIVALO	konkuranto
SKELETO	interna malmolaĵo, bazo de la homo aŭ besto
SKOLOPENDRO	multpieda ringforma krablanta insekto
TABULO	plata longa peco da ligno
TABURETO	sendorsa seĝeto
TEGOLO	maldika plataĵo, per kiaj oni kovras tegmentojn
APARTA	malkuna, disigita de
ATRIBUI	destini; aljugi
BARIO	arĝentblanka metalo
BIOLOGIO	scienco pri la fenomenoj de la vivo
BISMUTO	flavblanka metalo
CIVILIZI	socie kulturi
DISERTACIO	verko traktanta pri scienca aŭ literatura temo
DOKTORO	plej alta universitata diplomo
EFIKI	havi rezulton
EKSPLIKI	klarigi kaj komprenigi ion
ERAO	difinita epoko
ERCO	neprilaborita metalo
FAKULTATO	fako de universitato
FASCINI	nerezisteble allogi
FORMULO	preciza dirformo
HELIUMO	unu el la kemiajelementoj (He)
INDUSTRIO	produktado de riĉaĵoj
INICIATI	esti la unua, kiu proponas aŭ faras ion novan
INSTITUTO	nomo de scienca aŭ artista altlernejo
INTUICIO	kvazaŭinstinkta kono
IRONIO	moka dirmaniero
IZOTOPO	atomo de elemento,kies atompezo diferencas
JONO	atomo, kiu gajnis aŭ perdis elektronojn
JONIZI	produkti jonojn
KALIO	unu el la kemiaj elementoj (K)
KATEDRO	profesora seĝo
KLIŜO	fotografia negativo
KOMPONI	harmonie aranĝi;kunigi la kemiajn elementojn de io
KONDIĈO	cirkonstanco de kiu dependas efektiviĝo
KORTO	spaco ĉirkaŭita de konstruoj aŭ muroj
KUPRO	brunruĝa peza metalo(Cu)
KURENTO	fluo de elektro
LAVANGO	falanta neĝamasego
LICENCIO	universitata rango
LISTO	serio de nomoj
LONDONO	la ĉefurbo de Britujo
MAKROKOSMO	la tuta universo
MANSARDO	subtegmenta ĉambro
MATERIO	perceptebla substanco
MEDALO	metala honoriga disko,stampita ambaŭflanke
MEDICINO	scienco pri sano kaj malsano
MIKROKOSMO	malgranda universo; modelo de 1a universo
MODELO	malgranda kopiaĵo de io
MOLEKULO	plej malgranda ero de kemia korpo
NUKLEO	atomkerno
OMAĜI	fari honoron al iu
PARIZO	la ĉefurbo de Francujo
PERSPEKTIVO	aspekto de io malproksima
POLA	rilata al Pollando
PRECEDENCO	pasintaĵo, kiu pravigas nunan agadon
PROFESORO	fakestro en universitato
RADIKALA	ĝisfunda, esenca
RADIOLOGIO	scienco pri radiokrea energio
RANGO	grado de graveco de iu
SOLDATO	nmilitisto
SORBONO	la universitato en Parizo
SPONTANA	propravola; ekestanta sen ekstera influo
STRUKTURO	kunaranĝo de diversaj partoj de tutaĵo
SUBSTANCO	ĉiu speco de materio
TERAPIO	arto kuraci
TITOLO	nomo montranta rangon
TORIO	unu el la kemiaj elementoj (Th)
TRAFIKO	ĉirkaŭirado sur vojoj
TRAGIKA	terure malfeliĉa
TUMORO	malsaneca ĉelaro kreskanta en organismo
VARSOVIO	la ĉefurbo de Pollando
AKTORO	teatra ludisto
ALMOZO	monhelpo al malriĉulo
ANEKDOTO	mallonga sprita rakonto
APLAŬDI	montri aprobon
ARTIFIKO	trompa ruzaĵo
BENGALA	rilata al Bengalujo, orienta regiono de Hindujo
CIGANO	homo el vaganta hindujdevena gento
CIVITO	tutaĵo de la regnanoj
DIREKTORO	direktisto de ofico
DORNO	pikileto de vegetaĵo
EVIDENTA	klara kaj senduba
FILISTRO	senidealulo, vulgarulo
GRATULI	esprimi al iu kontentecon pri iu lia sukceso
ĜEMI	aŭdigi plendan brueton
ILUZIO	erara penso aŭ opinio
IMITI	similigi sin aŭ ion al io aŭ iu alia
INFEKTI	havigi al iu malsanon
INKLUZIVA	enhavanta en si
INSTRUMENTO	speciala ilo; ĉi tie: muzikilo
JAGUARO	amerika katsimila rabobesto
KOLOMBO	birdo kun forta hejmiga instinkto
KOLUBRO	nedanĝera serpento
KOMPROMITI	endanĝerigi
KONFERANSEO	programestro
KONKLUDO	fino de rezonado; finrezulto
KORBO	portebla ujo farita el sekaj herbaĵoj ks
KRAVATO	ornama rubandaĵo, kiun viroj portas ĉirkaŭ la kolo
KROĈI	ligi per hoko
LEVO	bulgara monunuo
MANTELO	longa supervesto
MIKROFONO	instrumento, kiu plilaŭtigas sonojn
MORDI	ŝiri per la dentoj
MUSO	malgranda malutila besto
NEGLEKTI	malzorgi, malatenti
ORIGINALA	ne simila al aliaj
POPO	grekortodoksa pastro
PROGRAMO	la enhavo de teatraĵo ks
PRONONCI	aŭdigi klare
PROTESTI	fari deklaron kontraŭ io
RATO	malutila besteto
REKVIZITO	teatra ekipo
TELEGRAMO	komuniko rapide transsendata
TELERO	malprofunda manĝovazo
TIGRO	granda katsimila rabobesto
TIKLI	delikate kaj ridige tuŝeti iun
TRETI	piedpremi
TUMULTO	konfuza brua malordego
VOSTO	postpenda hararo de besto
AŬTONOMIO	politika sendependeco
FIBRO	kunplektitaj korpaj aŭ vegetaĵaj fadenoj
FORTIKA	malfacile rompebla
IZOLI	apartigi de la aliaj
KALUMNII	malutili al iu per mensogaj akuzoj
LITOVUJO	provinco en tiama rusia Pollando
MORO	ĝenerala vivmaniero. kutima konduto
MOTIVO	kialo
ORATORO	homo, kiu publike paroladas
PREDIKI	fari religian aŭ kvazaŭreligian paroladon
RUSA	rilata al Ruslando
ŜOVINISTO	fanatika patrioto
TEORIO	supozo rezulte de rezonado
AKRO	unuo de termezuro
ARABO	nordafrikulo
ARDI	esti varmega
AZENO	kvarpieda longorela ŝarĝbesto
BIENO	terposedaĵo
CEREMONIO	formala ĝentileco
ĈARMA	delikate plaĉa kaj loga
DAKTILO	speco de frukto
DIGNO	memrespekto
DROMEDARO	unuĝiba besto, kiun oni rajdas en dezerto
DUNO	sabla monteto
EKIPI	provizi iun per necesaj iloj
FESTENO	luksa kaj abunda manĝo
FRIPONO	ruza malhonestulo
FRIVOLA	malserioza
GAZELO	svelta rapidkura besto
GRAVEDA	portanta naskotan idon
GRIO	senŝeligitaj grajnogrenoj
HORDEO	grenspeco
INSIDI	prepari por trompi iun
INSTALI	starigi kaj funkciigi ion
ITALA	rilata al Italujo
JUDO	viro de la hebrea gento
KANAJLO	malnobla homo
KOKETA	ornamama kaj flirtema
KRAĈI	elĵeti salivon el la buŝo
MAGNEZIO	kemia elemento(Mg)
MAHOMETANO	religia sekvanto de Mahometo
MAJORO	oficira armea rango
MALVO	rozviola floro
MEHARISTO	araba soldato rajdanta sur dromedaro nomata mehari
MENTO	aroma vegetaĵo
NEGRO	nigrulo
NIMFO	virina diaĵo de akvo, arbaro kaj monto
NOMADO	migrulo
OAZO	fekunda insulo en la dezerto
OKRO	speco de mineralo uzata kiel farbo
ORIGINO	devenloko
PALMO	varmlanda arbo
PAPRIKO	ruĝa pipro
RAJDI	sidi sur dorso de besto
REPUTACIO	publika opinio pri iu
REZERVI	konservi por iu destino
RIVERO	granda akvofluo
RUKTI	brue eligi stomakgasojn tra la buŝo
SALOMONO	biblia reĝo konata kiel lerta juĝisto
SAŬCO	spica manĝfluaĵo
SKABIO	infekta haŭtmalsano
SORBI	enspirante altiri fluaĵon iom post iom en sian buŝon
STUFI	longe kuiri viandon en fermita kaserolo
SUDANA	rilata al Sudano
SUKO	nutra fluaĵo
ŜUO	piedvesto
TAKTO	kapablo ĉiam agi kun ĝentileco kaj delikateco
TEO	trinkaĵo farita el sekigitaj folioj
TONO	nuanco de sono aŭ koloro
TRIBO	grupo de homoj samdevenaj
VEGETI	vivi inerte
VENKI	superi malamikon
VIRTO	konstanta emo fari bonon
VERDIKTO	decido de juĝanto
AŬDACI	maltimi
BALADO	rakonta poeziaĵo
BANDAĜO	longa tolaĵo por kovri vundon
BASO	plej malalta vira voĉo
BLEKI	krii kiel besto
BUBO	petola knabeto
ĈEVALO	kvarpieda rajdbesto
GLORO	famo kaj honoro
GRIMACO	tordiĝo de la vizaĝo
ĴALUZA	timanta pri perdo de kara objekto
KAPONO	kastrita koko, kiun oni manĝas
KAPREOLO	cervosimila besto
LEOPARDO	afrika katsimila rabobesto
LIMAKO	ĝardena rampuleto
MASAĜI	kurace premfroti la muskolojn
MIRAĜO	erariga alloga iluzio
PANTOFLO	hejma piedvesto
PAVO	birdo kun granda bela vosto
RIMO	versfina samsoneco
RUBANDO	longa mallarĝa teksaĵo
SENTENCO	mallonga frazo en havanta ĝeneralan moralan principon
SOPRANO	plej alta virina voĉo
TAMBURO	muzikilo, kiun oni batas per bastonoj
VARTI	zorgi infaneton
VILA	kovrita per densaj mallongaj haroj
ABIO	konifera arbo
ACERO	speco de arbo
AGRIMONIO	speco do herbo
AKTIVA	agema
ALISMO (PLANTAGA)	speco de herbeca marĉoplanto
ASIGNI	destini, disponigi
ASPERULO	speoo de floro
BALZAMINO	speco de planto
BERO	frukto de diversaj plantoj
BETULO	blankligna arbo
BLUZO	vesto por la supra korpo parto
CITIZO	arbo kun flavaj floroj
ĈERIZO	ruĝkolora bongusta frukto
EKSKREMENTO	tiu parto de la nutraĵo, kiun oni poste eligas el la korpo
EMBUSKO	sinkaŝo por surprize ataki malamikon
ERIKO	arbeto kun rozaj aŭ blankaj floroj
FAKTORO	kaŭzo de fenomeno
FRAGILA	tiel delikata ke ĝi facile rompiĝus
FRAGMITO	speco de fortika herbo
FRAKCIO	ono
FRAKSENO	arbo kun fleksebla ligno
FURAĜO	manĝajo por bestoj
GALIO	speco de planto
GRAJNO	malgranda semo
ĜEMELO	dunaskito
ĜERMO	komenca formo de estonta vegetaĵo aŭ besto
HAKI	battranĉi
HEKTARO	unuo do termezurado
HOKO	pinta ferkurbaĵo
HORTIKULTURO	la metio kulturi plantojn
HUMO	nigrebruna tern uzata kiel sterko
INFLORESKO	la aranĝo de floroj sur tigo
INVADI	perforte eniri kaj okupi
KAMECIPARIDO	konifera arbo
KAMENO	fajrujo
KONFETOJ	karnavalaj paperpecetoj
KAPSULO	skatoletforma ujo
KONIKO	duaorda kurbo
KUKO	franda bakaĵo
LANUGO	delikata plumaro aŭ hararo
LAPO	speco de planto
MANAO	ĉiela nutraĵo
MEJLO	mezuro de distanoo
METRO	mezuro por linioj
MIGRI	translokiĝi de loko al loko
MIRTELO	speco de arbeto
NUKSO	frukto en malmola ŝelo
ODISEO	heroo de greka poem, kiu dek jarojn vagadis tra la mondo
