C.eo content.tsv
Level	Esperanto	eo	en-us	Grupo	Alternativoj	Pronoco
level	gepatroj	gepatroj	(both) parents	grupo	alternativoj	prononco
level	geedziĝi	geedziĝi	to get married, to marry	grupo	alternativoj	prononco
level	vundo	vundo	a wound, an injury	grupo	alternativoj	prononco
level	scienco	scienco	science, a science	grupo	alternativoj	prononco
level	monero	monero	a coin	grupo	alternativoj	prononco
level	kompari	kompari	to compare	grupo	alternativoj	prononco
level	arko	arko	an arc (of a curve)	grupo	alternativoj	prononco
level	sperta	sperta	experienced, expert	grupo	alternativoj	prononco
level	sankta	sankta	holy, sacred	grupo	alternativoj	prononco
level	lavujo	lavujo	a washbasin	grupo	alternativoj	prononco
level	trajno	trajno	a train	grupo	alternativoj	prononco
level	domaĝo	domaĝo	a pity, something regrettable	grupo	alternativoj	prononco
level	akra	akra	sharp, abrasive	grupo	alternativoj	prononco
level	meriti	meriti	to deserve, to merit, to be worthy of	grupo	alternativoj	prononco
level	ekparoli	ekparoli	to start speaking	grupo	alternativoj	prononco
level	ekscii	ekscii	to get to know, to realise, to learn	grupo	alternativoj	prononco
level	semo	semo	a seed	grupo	alternativoj	prononco
level	reveni	reveni	to come back, to return	grupo	alternativoj	prononco
level	lupo	lupo	a wolf	grupo	alternativoj	prononco
level	elefanto	elefanto	an elephant	grupo	alternativoj	prononco
level	karoto	karoto	a carrot	grupo	alternativoj	prononco
level	haŭto	haŭto	skin, a skin	grupo	alternativoj	prononco
level	palaco	palaco	a palace	grupo	alternativoj	prononco
level	eksidi	eksidi	to get sit down	grupo	alternativoj	prononco
level	mamo	mamo	a breast (of a woman), boob	grupo	alternativoj	prononco
level	urso	urso	a bear	grupo	alternativoj	prononco
level	vulpo	vulpo	a fox	grupo	alternativoj	prononco
level	kuracisto	kuracisto	a (medical) doctor, a physician	grupo	alternativoj	prononco
level	kurteno	kurteno	a curtain, a screen, a veil	grupo	alternativoj	prononco
level	venki	venki	to conquer, to conquest, to win, to overcome	grupo	alternativoj	prononco
level	soldato	soldato	a soldier	grupo	alternativoj	prononco
level	trunko	trunko	a trunk, a shaft, a torso	grupo	alternativoj	prononco
level	ŝtelisto	ŝtelisto	a thief	grupo	alternativoj	prononco
level	miksi	miksi	to mix, to blend, to shuffle	grupo	alternativoj	prononco
level	preciza	preciza	precise, accurate	grupo	alternativoj	prononco
level	instruisto	instruisto	a teacher, an instructor	grupo	alternativoj	prononco
level	tedi	tedi	to bore	grupo	alternativoj	prononco
level	gaso	gaso	gas	grupo	alternativoj	prononco
level	fervora	fervora	earnest, eager, fervent, impassioned	grupo	alternativoj	prononco
level	diablo	diablo	a devil	grupo	alternativoj	prononco
level	densa	densa	dense, thick, concentrated	grupo	alternativoj	prononco
level	stranga	stranga	strange, odd, peculiar	grupo	alternativoj	prononco
level	savi	savi	to save, to rescue	grupo	alternativoj	prononco
level	vico	vico	turn, a turn (in a sequence)	grupo	alternativoj	prononco
level	kilometro	kilometro	a kilometer	grupo	alternativoj	prononco
level	puni	puni	to punish	grupo	alternativoj	prononco
level	prunto	prunto	a loan	grupo	alternativoj	prononco
level	planto	planto	plant, a plant	grupo	alternativoj	prononco
level	praktiko	praktiko	practice, a practice	grupo	alternativoj	prononco
level	kune	kune	together	grupo	alternativoj	prononco
level	temperaturo	temperaturo	temperature	grupo	alternativoj	prononco
level	nepo	nepo	a grandson	grupo	alternativoj	prononco
level	kunveni	kunveni	to convene, to gather, to meet	grupo	alternativoj	prononco
level	tono	tono	a tone	grupo	alternativoj	prononco
level	plata	plata	flat	grupo	alternativoj	prononco
level	ekskursi	ekskursi	to excurse, to go on a picnic, to jaunt	grupo	alternativoj	prononco
level	ripari	ripari	to repair, to fix	grupo	alternativoj	prononco
level	dramo	dramo	a drama	grupo	alternativoj	prononco
level	sovaĝa	sovaĝa	savage, wild	grupo	alternativoj	prononco
level	progresi	progresi	to progress	grupo	alternativoj	prononco
level	sonĝo	sonĝo	a dream	grupo	alternativoj	prononco
level	legomo	legomo	a vegetable	grupo	alternativoj	prononco
level	proksimuma	proksimuma	approximate	grupo	alternativoj	prononco
level	mapo	mapo	a map	grupo	alternativoj	prononco
level	foje (iu foje)	foje (iu foje)	sometimes (some times)	grupo	alternativoj	prononco
level	aŭtoritato	aŭtoritato	an authority	grupo	alternativoj	prononco
level	distribui	distribui	to distribute	grupo	alternativoj	prononco
level	distingi	distingi	to distinguish	grupo	alternativoj	prononco
level	speciala	speciala	special	grupo	alternativoj	prononco
level	boli	boli	to boil	grupo	alternativoj	prononco
level	osto	osto	a bone	grupo	alternativoj	prononco
level	rekomendi	rekomendi	to recommend	grupo	alternativoj	prononco
level	postmorgaŭ	postmorgaŭ	the day after tomorrow	grupo	alternativoj	prononco
level	komplezi	komplezi	to oblige, to be kind as to, to do a favor	grupo	alternativoj	prononco
level	ĝentila	ĝentila	gentle, polite, courteous, well-mannered	grupo	alternativoj	prononco
level	komforta	komforta	comfortable	grupo	alternativoj	prononco
level	strio	strio	a stripe, a ray	grupo	alternativoj	prononco
level	tolo	tolo	a canvas, a cloth, a linen	grupo	alternativoj	prononco
level	ŝnuro	ŝnuro	a rope, a chord, a string	grupo	alternativoj	prononco
level	imperio	imperio	an empire	grupo	alternativoj	prononco
level	ĉemizo	ĉemizo	a shirt	grupo	alternativoj	prononco
level	anaso	anaso	a duck	grupo	alternativoj	prononco
level	organo	organo	an organ, a review, an official bulletin	grupo	alternativoj	prononco
level	longe	longe	long, for a long time	grupo	alternativoj	prononco
level	biskvito	biskvito	a biscuit, a cookie, a cracker	grupo	alternativoj	prononco
level	panjo	panjo	mom, a mom, mommy	grupo	alternativoj	prononco
level	paĉjo	paĉjo	dad, a dad, daddy	grupo	alternativoj	prononco
level	mendi	mendi	to order, to book	grupo	alternativoj	prononco
level	lingva	lingva	linguistic	grupo	alternativoj	prononco
level	biciklo	biciklo	a bike, a bicycle	grupo	alternativoj	prononco
level	imiti	imiti	to imitate	grupo	alternativoj	prononco
level	abelo	abelo	a bee	grupo	alternativoj	prononco
level	konfidi	konfidi	to confide, to entrust	grupo	alternativoj	prononco
level	ferio (feria tago)	ferio (feria tago)	holiday, a holiday (=libertago)	grupo	alternativoj	prononco
level	kisi	kisi	to kiss	grupo	alternativoj	prononco
level	nokte	nokte	at night, night-time, by night	grupo	alternativoj	prononco
level	transdoni	transdoni	to give over, to transfer, to hand over	grupo	alternativoj	prononco
level	litero	litero	a character, a letter	grupo	alternativoj	prononco
level	maŝino	maŝino	a machine	grupo	alternativoj	prononco
level	haveno	haveno	a harbor, a port	grupo	alternativoj	prononco
level	graso	graso	grease, fat	grupo	alternativoj	prononco
level	klopodi	klopodi	to endeavor, to attempt, to aim, to undertake	grupo	alternativoj	prononco
level	ŝanco	ŝanco	a chance, an opportunity	grupo	alternativoj	prononco
level	ŝiri	ŝiri	to tear, to rip	grupo	alternativoj	prononco
level	mantelo	mantelo	a coat, a manteau, a cloak	grupo	alternativoj	prononco
level	programo	programo	a program	grupo	alternativoj	prononco
level	volvi	volvi	to wrap, to roll, to wind, to roll up	grupo	alternativoj	prononco
level	prunte	prunte	on loan	grupo	alternativoj	prononco
level	naskiĝtago	naskiĝtago	a birthday	grupo	alternativoj	prononco
level	karbo	karbo	coal	grupo	alternativoj	prononco
level	proponi	proponi	to propose, to offer	grupo	alternativoj	prononco
level	muzeo	muzeo	a museum	grupo	alternativoj	prononco
level	metalo	metalo	metal, a metal	grupo	alternativoj	prononco
level	streĉi	streĉi	to strech, to tighten	grupo	alternativoj	prononco
level	gustumi	gustumi	to taste, to sample	grupo	alternativoj	prononco
level	atenti	atenti	to take care, to pay attention, to watch out for	grupo	alternativoj	prononco
level	presi	presi	to print	grupo	alternativoj	prononco
level	tabulo	tabulo	a board, a plank, a tablette	grupo	alternativoj	prononco
level	tute	tute	totally, completely, entirely	grupo	alternativoj	prononco
level	serio	serio	a series	grupo	alternativoj	prononco
level	universitato	universitato	a university	grupo	alternativoj	prononco
level	situacio	situacio	a situation, circumstances, a condition	grupo	alternativoj	prononco
level	paro	paro	a pair, a couple	grupo	alternativoj	prononco
level	metio	metio	craft, handicraft	grupo	alternativoj	prononco
level	meblo	meblo	a piece of furniture	grupo	alternativoj	prononco
level	oleo	oleo	oil, an oil	grupo	alternativoj	prononco
level	scivola	scivola	curious, inquisitive	grupo	alternativoj	prononco
level	ĉu ne?	ĉu ne?	isn't it? aren't they?	grupo	alternativoj	prononco
level	nepra	nepra	essential, absolutely necessary	grupo	alternativoj	prononco
level	kapabli	kapabli	to be able to, to be capable of	grupo	alternativoj	prononco
level	ŝranko	ŝranko	a locker, a cupboard, a closet, a sideboard	grupo	alternativoj	prononco
level	po ~	po ~	per, at the rate of, by	grupo	alternativoj	prononco
level	direktoro	direktoro	a director, a manager	grupo	alternativoj	prononco
level	ve!	ve!	Alas!	grupo	alternativoj	prononco
level	eviti	eviti	to avoid, to evade	grupo	alternativoj	prononco
level	posedi	posedi	to possess, to own	grupo	alternativoj	prononco
level	rubriko	rubriko	a heading, a section, a rubric, a column	grupo	alternativoj	prononco
level	krimo	krimo	a crime	grupo	alternativoj	prononco
level	akiri	akiri	to acquire, to attain, to obtain, to get	grupo	alternativoj	prononco
level	fuŝi	fuŝi	to mess, to bungle, to botch, to screw up	grupo	alternativoj	prononco
level	virino	virino	a woman	grupo	alternativoj	prononco
level	viŝi	viŝi	to wipe, to delete, ti wipe off	grupo	alternativoj	prononco
level	flanke	flanke	at the side	grupo	alternativoj	prononco
level	oferti	oferti	to propose, to bid, to make an offer of, to offer	grupo	alternativoj	prononco
level	muŝo	muŝo	a fly (insect)	grupo	alternativoj	prononco
level	subite	subite	suddenly, all of a sudden	grupo	alternativoj	prononco
level	spegulo	spegulo	a mirror, a looking glass	grupo	alternativoj	prononco
level	taŭga	taŭga	suitable	grupo	alternativoj	prononco
level	neniel	neniel	in no way, by no means, not at all	grupo	alternativoj	prononco
level	persona	persona	personal	grupo	alternativoj	prononco
level	rado	rado	a wheel	grupo	alternativoj	prononco
level	najbaro	najbaro	a neighbor	grupo	alternativoj	prononco
level	tremi	tremi	to tremble, to quiver, to shiver	grupo	alternativoj	prononco
level	familia ĉambro	familia ĉambro	a family room, a living room	grupo	alternativoj	prononco
level	poto	poto	a pot, a jug	grupo	alternativoj	prononco
level	pasigi	pasigi	to spend, to pass	grupo	alternativoj	prononco
level	akompani	akompani	to accompany	grupo	alternativoj	prononco
level	noto	noto	a note, (school) grade, mark	grupo	alternativoj	prononco
level	brovo	brovo	an eyebrow	grupo	alternativoj	prononco
level	infanĉambro	infanĉambro	a child room	grupo	alternativoj	prononco
level	vigla	vigla	animated, brisk	grupo	alternativoj	prononco
level	simio	simio	a monkey	grupo	alternativoj	prononco
level	pilko	pilko	a ball	grupo	alternativoj	prononco
level	konscii	konscii	to be concious, to be aware of	grupo	alternativoj	prononco
level	honoro	honoro	honor, an honour	grupo	alternativoj	prononco
level	inaŭguro	inaŭguro	inauguration, an inauguration	grupo	alternativoj	prononco
level	bebo	bebo	a baby	grupo	alternativoj	prononco
level	rajti	rajti	to be allowed, to have the right to	grupo	alternativoj	prononco
level	apetito	apetito	an appetite	grupo	alternativoj	prononco
level	klubo	klubo	a club, a society	grupo	alternativoj	prononco
level	soifi	soifi	to thirst, to be thirsty	grupo	alternativoj	prononco
level	muso	muso	a mouse	grupo	alternativoj	prononco
level	nevo	nevo	a nephew	grupo	alternativoj	prononco
level	vespermanĝo	vespermanĝo	a dinner, a supper, evening meal	grupo	alternativoj	prononco
level	matene	matene	in the morning	grupo	alternativoj	prononco
level	trompi	trompi	to deceive, to cheat	grupo	alternativoj	prononco
level	farmi	farmi	to farm, to lease a farm	grupo	alternativoj	prononco
level	cifero	cifero	digit, a digit, cipher, a figure	grupo	alternativoj	prononco
level	honesta	honesta	honest	grupo	alternativoj	prononco
level	tagmezo	tagmezo	noon, midday	grupo	alternativoj	prononco
level	romano	romano	a novel	grupo	alternativoj	prononco
level	rato	rato	a rat	grupo	alternativoj	prononco
level	antaŭtagmeze	antaŭtagmeze	before noon (in the morning)	grupo	alternativoj	prononco
level	fosi	fosi	to dig, to grub, to spade	grupo	alternativoj	prononco
level	foso	foso	a pit, pole	grupo	alternativoj	prononco
level	posttagmeze	posttagmeze	in the afternoon	grupo	alternativoj	prononco
level	fiera	fiera	proud	grupo	alternativoj	prononco
level	bari	bari	to bar, to obstruct	grupo	alternativoj	prononco
level	oscedi	oscedi	to yawn	grupo	alternativoj	prononco
level	poento	poento	a point, a run	grupo	alternativoj	prononco
level	minaci	minaci	to minace, to threaten, to intimidate, to menace	grupo	alternativoj	prononco
level	armo	armo	arms, armory	grupo	alternativoj	prononco
level	parenco	parenco	relative, a relative, a kinsman	grupo	alternativoj	prononco
level	rikolti	rikolti	to harvest, to reap, to garner	grupo	alternativoj	prononco
level	duŝo	duŝo	shower, a shower	grupo	alternativoj	prononco
level	mueli	mueli	to grind	grupo	alternativoj	prononco
level	fabelo	fabelo	a fairy tale, a bedtime story	grupo	alternativoj	prononco
level	publika	publika	public, open to public	grupo	alternativoj	prononco
level	baro	baro	a barrier, an obstruction	grupo	alternativoj	prononco
level	kubuto	kubuto	an elbow	grupo	alternativoj	prononco
level	flughaveno	flughaveno	an airport	grupo	alternativoj	prononco
level	spico	spico	a spice	grupo	alternativoj	prononco
level	kubo	kubo	a cube, a dice	grupo	alternativoj	prononco
level	transirejo	transirejo	a crossing, a crossway	grupo	alternativoj	prononco
level	lastanokte	lastanokte	(at) last night	grupo	alternativoj	prononco
level	pafi	pafi	to shoot, to fire	grupo	alternativoj	prononco
level	aprobi	aprobi	to approve	grupo	alternativoj	prononco
level	kutime	kutime	ordinarily, usually	grupo	alternativoj	prononco
level	reala	reala	real	grupo	alternativoj	prononco
level	kolekti	kolekti	to collect	grupo	alternativoj	prononco
level	okulvitroj	okulvitroj	eye-glasses, spectacles, glasses	grupo	alternativoj	prononco
level	rolo	rolo	role, a role, a part	grupo	alternativoj	prononco
level	rifuzi	rifuzi	to refuse	grupo	alternativoj	prononco
level	riproĉi	riproĉi	to reproach, to reprimand, to rebuke, to scold	grupo	alternativoj	prononco
level	fakturo	fakturo	an invoice, a bill	grupo	alternativoj	prononco
level	sun-floro	sun-floro	a sun-flower	grupo	alternativoj	prononco
level	peli	peli	to propel, to drive, to chase, to impel	grupo	alternativoj	prononco
level	bluzo	bluzo	a blouse	grupo	alternativoj	prononco
level	ĉial	ĉial	for every reason	grupo	alternativoj	prononco
level	pluvi	pluvi	to rain	grupo	alternativoj	prononco
level	deserto	deserto	a dessert, an afters	grupo	alternativoj	prononco
level	regno	regno	a kingdom, a realm	grupo	alternativoj	prononco
level	bedaŭrinda	bedaŭrinda	regrettable, deplorable	grupo	alternativoj	prononco
level	nenial	nenial	for no reason, not for any reason	grupo	alternativoj	prononco
level	indulgi	indulgi	to be lenient (with), to indulge	grupo	alternativoj	prononco
level	ĉiĉerono	ĉiĉerono	a cicerone, a tour guide, a docent	grupo	alternativoj	prononco
level	krano	krano	a tap, a faucet	grupo	alternativoj	prononco
level	prezidi	prezidi	to preside over	grupo	alternativoj	prononco
level	najbara	najbara	neighboring	grupo	alternativoj	prononco
level	kruciĝejo	kruciĝejo	a crossway	grupo	alternativoj	prononco
level	polvo	polvo	dust, a dust	grupo	alternativoj	prononco
level	ĉapitro	ĉapitro	chapter, a chapter	grupo	alternativoj	prononco
level	reklamo	reklamo	an advertisement	grupo	alternativoj	prononco
level	pia	pia	pious	grupo	alternativoj	prononco
level	lastjare	lastjare	last year	grupo	alternativoj	prononco
level	vojmontrilo	vojmontrilo	a landmark, a signpost	grupo	alternativoj	prononco
level	kelo	kelo	a cellar, a basement	grupo	alternativoj	prononco
level	firma	firma	firm, stable	grupo	alternativoj	prononco
level	eks-	eks-	<prefix> ex-, former	grupo	alternativoj	prononco
level	kilogramo	kilogramo	a kilogram	grupo	alternativoj	prononco
level	frago	frago	a strawberry	grupo	alternativoj	prononco
level	pato	pato	a frying pan	grupo	alternativoj	prononco
level	delikata	delikata	delicate, sensitive	grupo	alternativoj	prononco
level	ĉasi	ĉasi	to chase after, to pursue, to hunt	grupo	alternativoj	prononco
level	verdire	verdire	to tell the truth	grupo	alternativoj	prononco
level	pra-	pra-	remoteness in time, prehistorical, fore-, greatgrand-	grupo	alternativoj	prononco
level	matura	matura	mature, ripe	grupo	alternativoj	prononco
level	kulerego	kulerego	bucket, a large spoon	grupo	alternativoj	prononco
level	konduti	konduti	to conduct oneself, to behave	grupo	alternativoj	prononco
level	vere	vere	really, genuinly, truly	grupo	alternativoj	prononco
level	mis-	mis-	<prefix> mis-	grupo	alternativoj	prononco
level	kvieta	kvieta	quiet, calm	grupo	alternativoj	prononco
level	funkcii	funkcii	to function, to operate, to work	grupo	alternativoj	prononco
level	konvena	konvena	appropriate, suitable	grupo	alternativoj	prononco
level	turisto	turisto	a tourist	grupo	alternativoj	prononco
level	honti	honti	to be ashamed	grupo	alternativoj	prononco
level	averti	averti	to warn, to caution	grupo	alternativoj	prononco
level	turismo	turismo	tourism	grupo	alternativoj	prononco
level	stumpo	stumpo	a stump, a butt (cigarret)	grupo	alternativoj	prononco
level	trinkmono (gratifiko)	trinkmono (gratifiko)	a tip (bonus), a gratuity	grupo	alternativoj	prononco
level	pacienca	pacienca	patient	grupo	alternativoj	prononco
level	mieno	mieno	a (facial) expression	grupo	alternativoj	prononco
level	pensio	pensio	pension, annuity	grupo	alternativoj	prononco
level	princo	princo	a prince	grupo	alternativoj	prononco
level	sorto	sorto	destiny, fate, fortune	grupo	alternativoj	prononco
level	-end-	-end-	<suffix> obligation	grupo	alternativoj	prononco
level	longaj ŝtrumpoj	longaj ŝtrumpoj	long stockings	grupo	alternativoj	prononco
level	barbo	barbo	beard	grupo	alternativoj	prononco
level	-ing-	-ing-	<suffix> long holder, socket	grupo	alternativoj	prononco
level	bongusta	bongusta	delicious, good-tasted	grupo	alternativoj	prononco
level	flegi	flegi	to take care of, to nurse	grupo	alternativoj	prononco
level	-njo	-njo	<suffix> female pet name	grupo	alternativoj	prononco
level	-ĉjo	-ĉjo	<suffix> male pet name	grupo	alternativoj	prononco
level	plugi	plugi	to plow, to plough, to till	grupo	alternativoj	prononco
level	amletero	amletero	a loveletter	grupo	alternativoj	prononco
level	glaso da	glaso da	a glass of	grupo	alternativoj	prononco
level	valo	valo	a valley	grupo	alternativoj	prononco
level	taso da	taso da	a cup of	grupo	alternativoj	prononco
level	ŝarĝo	ŝarĝo	a burden, a load, a charge	grupo	alternativoj	prononco
level	bufedo	bufedo	a buffet	grupo	alternativoj	prononco
level	avino	avino	a grandmother	grupo	alternativoj	prononco
level	guto	guto	a drop, a drip	grupo	alternativoj	prononco
level	estingi	estingi	to put out, to extinguish	grupo	alternativoj	prononco
level	feliĉe	feliĉe	happily	grupo	alternativoj	prononco
level	gorĝo	gorĝo	a throat	grupo	alternativoj	prononco
level	serpento	serpento	a snake	grupo	alternativoj	prononco
level	klare	klare	clearly	grupo	alternativoj	prononco
level	alveni	alveni	to arrive, to get	grupo	alternativoj	prononco
level	aldoni	aldoni	to add	grupo	alternativoj	prononco
level	vesti (sin)	vesti (sin)	to dress (oneself), to put on	grupo	alternativoj	prononco
level	vosto	vosto	a tail	grupo	alternativoj	prononco
level	alporti	alporti	to bring, to fetch	grupo	alternativoj	prononco
level	vestiblo	vestiblo	a lobby (putting dress off), entrance hall, vestibule	grupo	alternativoj	prononco
level	korno	korno	a horn, hooter, klaxon	grupo	alternativoj	prononco
level	avara	avara	greedy, avarious	grupo	alternativoj	prononco
level	ebla	ebla	possible, able	grupo	alternativoj	prononco
level	eble	eble	perhaps, possibly, maybe	grupo	alternativoj	prononco
level	balai	balai	to sweep	grupo	alternativoj	prononco
level	kompreneble	kompreneble	of course (understandably)	grupo	alternativoj	prononco
level	glitkuri	glitkuri	to skate, to sliding-run	grupo	alternativoj	prononco
level	sketi (glitkuri)	sketi (glitkuri)	to skate (ice skating)	grupo	alternativoj	prononco
level	ŝvito	ŝvito	sweat, a sweat, perspiration	grupo	alternativoj	prononco
level	nenies	nenies	nobody's, no-one's	grupo	alternativoj	prononco
level	simili	simili	to look similar, to resemble	grupo	alternativoj	prononco
level	kameno	kameno	a fireplace, a hearth	grupo	alternativoj	prononco
level	portebla	portebla	portable	grupo	alternativoj	prononco
level	memkomprenebla	memkomprenebla	evident, of course	grupo	alternativoj	prononco
level	prezidanto	prezidanto	a chairman, a president	grupo	alternativoj	prononco
level	pluraj	pluraj	several	grupo	alternativoj	prononco
level	kongresnumero	kongresnumero	a registering number in a congress	grupo	alternativoj	prononco
level	UK (U.K.)	UK (U.K.)	the Universal Congress (of Esperanto)	grupo	alternativoj	prononco
level	surda	surda	deaf	grupo	alternativoj	prononco
level	UEA (U.E.A)	UEA (U.E.A)	the Universal Esperanto-Association	grupo	alternativoj	prononco
level	ordi	ordi	to arrange, to make things in order	grupo	alternativoj	prononco
level	fraŭlino	fraŭlino	a maden, unmarried woman, Miss.	grupo	alternativoj	prononco
level	ringo	ringo	a ring	grupo	alternativoj	prononco
level	pasaĝerŝipo	pasaĝerŝipo	a passenger ship	grupo	alternativoj	prononco
level	kongreslibro	kongreslibro	a congress book	grupo	alternativoj	prononco
level	beko	beko	a beak, a bill	grupo	alternativoj	prononco
level	libroservo	libroservo	a bookshop (in a congress)	grupo	alternativoj	prononco
level	libroŝranko	libroŝranko	a book shelf	grupo	alternativoj	prononco
level	kapkuseno	kapkuseno	a pillow	grupo	alternativoj	prononco
level	cindro	cindro	ash, cinder	grupo	alternativoj	prononco
level	artikolo	artikolo	an article (magazine, newspaper)	grupo	alternativoj	prononco
level	nombri	nombri	to number, to count	grupo	alternativoj	prononco
level	duobla	duobla	double	grupo	alternativoj	prononco
level	duoble	duoble	twice, doubly	grupo	alternativoj	prononco
level	dekobla	dekobla	of ten-fold	grupo	alternativoj	prononco
level	ĉapo	ĉapo	a cap	grupo	alternativoj	prononco
level	dekoblo	dekoblo	ten-fold, ten times	grupo	alternativoj	prononco
level	kasedo	kasedo	a cassette	grupo	alternativoj	prononco
level	dekoble	dekoble	ten times as much (many)	grupo	alternativoj	prononco
level	jesuo	jesuo	Jesus	grupo	alternativoj	prononco
level	poluro	poluro	polish, polishment	grupo	alternativoj	prononco
level	tusi	tusi	to cough	grupo	alternativoj	prononco
level	pinglo	pinglo	pin, needle	grupo	alternativoj	prononco
level	buĝeto	buĝeto	a budget (=budĝeto)	grupo	alternativoj	prononco
level	duono	duono	an half	grupo	alternativoj	prononco
level	subjekto	subjekto	a subject	grupo	alternativoj	prononco
level	pesi	pesi	to measure weight, to weigh	grupo	alternativoj	prononco
level	ĉiutage	ĉiutage	every day, daily	grupo	alternativoj	prononco
level	lanterno	lanterno	a lantern	grupo	alternativoj	prononco
level	tagmanĝo	tagmanĝo	a lunch, midday meal	grupo	alternativoj	prononco
level	importi	importi	to import	grupo	alternativoj	prononco
level	duona	duona	half(ly)	grupo	alternativoj	prononco
level	dekono	dekono	a tenth	grupo	alternativoj	prononco
level	skrapi	skrapi	to scrape, to scratch	grupo	alternativoj	prononco
level	kvarono	kvarono	a quarter, one fourth	grupo	alternativoj	prononco
level	triono	triono	a third, one third	grupo	alternativoj	prononco
level	pezi	pezi	to weigh (to have a heaviness of an amount)	grupo	alternativoj	prononco
level	naztuko	naztuko	a handkerchief (=kajertuko)	grupo	alternativoj	prononco
level	bantuko	bantuko	a bath towel	grupo	alternativoj	prononco
level	littuko	littuko	a bed sheet	grupo	alternativoj	prononco
level	terure	terure	terribly, awfully	grupo	alternativoj	prononco
level	kvaropo	kvaropo	a foursome, a quadruple	grupo	alternativoj	prononco
level	tualeto	tualeto	a toilet (attire)	grupo	alternativoj	prononco
level	pardono	pardono	forgiveness, pardon, absolution	grupo	alternativoj	prononco
level	kuvo	kuvo	a tub, a bath, a vat	grupo	alternativoj	prononco
level	vizitadi	vizitadi	to visit regularily, to frequent	grupo	alternativoj	prononco
level	esplori	esplori	to explore, to investigate	grupo	alternativoj	prononco
level	regali	regali	to regale, to treat, to entertain	grupo	alternativoj	prononco
level	diskuti	diskuti	to discuss	grupo	alternativoj	prononco
level	propagandi	propagandi	to make propaganda, to advertise	grupo	alternativoj	prononco
level	kudrilo	kudrilo	a sewing needle	grupo	alternativoj	prononco
level	ŝoveli	ŝoveli	to shovel	grupo	alternativoj	prononco
level	aplaŭdo	aplaŭdo	an applause, acclamation	grupo	alternativoj	prononco
level	malsata	malsata	hungry	grupo	alternativoj	prononco
level	esprimi	esprimi	to express	grupo	alternativoj	prononco
level	subtaso	subtaso	a saucer	grupo	alternativoj	prononco
level	traduko	traduko	a translation	grupo	alternativoj	prononco
level	kopiilo	kopiilo	a copying machine, a copier	grupo	alternativoj	prononco
level	provizo	provizo	a provision, a stock, a supply	grupo	alternativoj	prononco
level	traduki	traduki	to translate	grupo	alternativoj	prononco
level	terglobo	terglobo	the earth globe	grupo	alternativoj	prononco
level	breto	breto	a shelf	grupo	alternativoj	prononco
level	sekreti	sekreti	to keep secrets	grupo	alternativoj	prononco
level	ekonomio	ekonomio	economy, an economy	grupo	alternativoj	prononco
level	evolui	evolui	to evolve	grupo	alternativoj	prononco
level	ĉambristo	ĉambristo	a housekeeper	grupo	alternativoj	prononco
level	dimanĉe	dimanĉe	on Sunday	grupo	alternativoj	prononco
level	pruntedoni	pruntedoni	to lend	grupo	alternativoj	prononco
level	veturado	veturado	going on a ride	grupo	alternativoj	prononco
level	ĥoro	ĥoro	a choir, a chorus	grupo	alternativoj	prononco
level	pruntepreni	pruntepreni	to borrow and take	grupo	alternativoj	prononco
level	vestaĵo	vestaĵo	clothes	grupo	alternativoj	prononco
level	rapide	rapide	rapidly, quickly, swiftly	grupo	alternativoj	prononco
level	urbomezo	urbomezo	a center of a city	grupo	alternativoj	prononco
level	tridekjara	tridekjara	30 years old	grupo	alternativoj	prononco
level	tiuokaze	tiuokaze	in that case	grupo	alternativoj	prononco
level	sekigi	sekigi	to dry	grupo	alternativoj	prononco
level	varmigi	varmigi	to make warm, to keep warm, to heat	grupo	alternativoj	prononco
level	surloka	surloka	at the place	grupo	alternativoj	prononco
level	supren	supren	upward	grupo	alternativoj	prononco
level	subakvigi	subakvigi	to sink, to make sink	grupo	alternativoj	prononco
level	foto	foto	a photo, photograph	grupo	alternativoj	prononco
level	sovaĝejo	sovaĝejo	a wilderness	grupo	alternativoj	prononco
level	skribotablo	skribotablo	a writing table	grupo	alternativoj	prononco
level	varmiĝi	varmiĝi	to become warm	grupo	alternativoj	prononco
level	klarigi	klarigi	to explain, to clarify	grupo	alternativoj	prononco
level	sentimulo	sentimulo	a fearless man	grupo	alternativoj	prononco
level	krepusko	krepusko	a twilight, a dusk	grupo	alternativoj	prononco
level	laciga	laciga	wearing, tiring, causing fatigue	grupo	alternativoj	prononco
level	senkolora	senkolora	colorless	grupo	alternativoj	prononco
level	senbrue	senbrue	without noise	grupo	alternativoj	prononco
level	lernigi	lernigi	to make learning, to teach	grupo	alternativoj	prononco
level	ŝuldi	ŝuldi	to owe	grupo	alternativoj	prononco
level	sekreta	sekreta	secret	grupo	alternativoj	prononco
level	finigi	finigi	to make an end, to finish	grupo	alternativoj	prononco
level	salto	salto	a jump	grupo	alternativoj	prononco
level	finiĝi	finiĝi	to become finished, to end, to come to an end	grupo	alternativoj	prononco
level	malvarmiĝi	malvarmiĝi	to become cold	grupo	alternativoj	prononco
level	rideto	rideto	a smile	grupo	alternativoj	prononco
level	sidiĝi	sidiĝi	to sit down	grupo	alternativoj	prononco
level	repaciĝo	repaciĝo	becoming peaceful again	grupo	alternativoj	prononco
level	redoni	redoni	to give back	grupo	alternativoj	prononco
level	stariĝi	stariĝi	to get up, to rise, to stand up	grupo	alternativoj	prononco
