C.eo content.tsv
Level	Esperanto	eo	en-us	Grupo	Alternativoj	Pronoco
level	pro ~	pro ~	<preposition> because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	-estr-	<suffix> leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	kio	what	grupo	alternativoj	prononco
level	manĝi	manĝi	to eat	grupo	alternativoj	prononco
level	nenio	nenio	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	juna	young	grupo	alternativoj	prononco
level	ĉio	ĉio	everything	grupo	alternativoj	prononco
level	riĉa	riĉa	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	tio	that thing, that	grupo	alternativoj	prononco
level	konstrui	konstrui	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	ĉef-	<prefix> chief, leading, main	grupo	alternativoj	prononco
level	sen ~	sen ~	<preposition> without ~	grupo	alternativoj	prononco
level	kun ~	kun ~	<preposition> with ~ (together)	grupo	alternativoj	prononco
level	krom ~	krom ~	<preposition> except ~, besides ~	grupo	alternativoj	prononco
level	amiko	amiko	a friend	grupo	alternativoj	prononco
level	kies	kies	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	per ~	<preposition> by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	kontraŭ ~	against ~	grupo	alternativoj	prononco
level	el ~	el ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	hodiaŭ	today	grupo	alternativoj	prononco
level	hieraŭ	hieraŭ	yesterday	grupo	alternativoj	prononco
level	nur	nur	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	helpi	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	for	<adv> far, away	grupo	alternativoj	prononco
level	nek	nek	nor, neither	grupo	alternativoj	prononco
level	malamo	malamo	a hate	grupo	alternativoj	prononco
level	preskaŭ	preskaŭ	almost, nearly	grupo	alternativoj	prononco
level	tra ~	tra ~	through ~	grupo	alternativoj	prononco
level	super	super	over, above	grupo	alternativoj	prononco
level	trans ~	trans ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	nu	well, well then, now	grupo	alternativoj	prononco
level	pri ~	pri ~	about ~	grupo	alternativoj	prononco
level	por ~	por ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	morgaŭ	tomorrow	grupo	alternativoj	prononco
level	nun	nun	now, at present	grupo	alternativoj	prononco
level	laŭ ~	laŭ ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	ĉiu	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	kiu	who, which, which one	grupo	alternativoj	prononco
level	tiu	tiu	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	iu	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	neniu	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	al ~	to ~	grupo	alternativoj	prononco
level	-ebl-	-ebl-	<suffix> ~able	grupo	alternativoj	prononco
level	esperi	esperi	to hope	grupo	alternativoj	prononco
level	unu	unu	one	grupo	alternativoj	prononco
level	du	du	two	grupo	alternativoj	prononco
level	tri	tri	three	grupo	alternativoj	prononco
level	kvar	kvar	four	grupo	alternativoj	prononco
level	kvin	kvin	five	grupo	alternativoj	prononco
level	ses	ses	six	grupo	alternativoj	prononco
level	sep	sep	seven	grupo	alternativoj	prononco
level	ok	ok	eight	grupo	alternativoj	prononco
level	naŭ	naŭ	nine	grupo	alternativoj	prononco
level	dek	dek	ten	grupo	alternativoj	prononco
level	cent	cent	a hundred	grupo	alternativoj	prononco
level	mil	mil	a thousand	grupo	alternativoj	prononco
level	-obl-	-obl-	<suffix> for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	-on-	<suffix> ~th, fraction	grupo	alternativoj	prononco
level	ama	ama	of love	grupo	alternativoj	prononco
level	anstataŭ ~	anstataŭ ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	-iĝ-	<suffix> become	grupo	alternativoj	prononco
level	voli	voli	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	-ig-	<suffix> cause to become	grupo	alternativoj	prononco
level	sekvi	sekvi	to follow	grupo	alternativoj	prononco
level	ĝoje	ĝoje	gladly	grupo	alternativoj	prononco
level	legi	legi	to read	grupo	alternativoj	prononco
level	silenta	silenta	silent	grupo	alternativoj	prononco
level	la	la	the	grupo	alternativoj	prononco
level	ha!	ha!	ha!	grupo	alternativoj	prononco
level	-il-	-il-	<suffix> tool, method	grupo	alternativoj	prononco
level	trinki	trinki	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	-et-	<suffix> small, little	grupo	alternativoj	prononco
level	-eg-	-eg-	<suffix> big, large	grupo	alternativoj	prononco
level	inter ~	inter ~	<preposition> between ~	grupo	alternativoj	prononco
level	-um-	-um-	<suffix> related behavior	grupo	alternativoj	prononco
level	-ar-	-ar-	<suffix> set, group	grupo	alternativoj	prononco
level	-an-	-an-	<suffix> member of a group	grupo	alternativoj	prononco
level	danki	danki	to thank	grupo	alternativoj	prononco
level	-ind-	-ind-	<suffix> worthwhile, worthy	grupo	alternativoj	prononco
level	plu	plu	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	kiel	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	tiel	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	en ~	<preposition> in ~	grupo	alternativoj	prononco
level	apud ~	apud ~	<preposition> next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	sub ~	<preposition> under, beneath ~	grupo	alternativoj	prononco
level	sur ~	sur ~	<preposition> on ~	grupo	alternativoj	prononco
level	je ~	je ~	<preposition> indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	ankoraŭ	<adv> still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	ĉirkaŭ ~	<preposition> around ~	grupo	alternativoj	prononco
level	sed	sed	but	grupo	alternativoj	prononco
level	ie	ie	somewhere	grupo	alternativoj	prononco
level	kie	kie	where, at what place	grupo	alternativoj	prononco
level	silente	silente	silently	grupo	alternativoj	prononco
level	ĉie	ĉie	everywhere, all about	grupo	alternativoj	prononco
level	nenie	nenie	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	tie	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	ĉi	this ~	grupo	alternativoj	prononco
level	kanti	kanti	to sing	grupo	alternativoj	prononco
level	morti	morti	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	dum ~	<preposition> during ~, while ~	grupo	alternativoj	prononco
level	nacio	nacio	a nation	grupo	alternativoj	prononco
level	koni	koni	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	scii	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	ĉiam	always, ever	grupo	alternativoj	prononco
level	iam	iam	at some time, once	grupo	alternativoj	prononco
level	tiam	tiam	then	grupo	alternativoj	prononco
level	-em-	-em-	<suffix> tendancy	grupo	alternativoj	prononco
level	ia	ia	some kind of	grupo	alternativoj	prononco
level	sukcesi	sukcesi	to succeed	grupo	alternativoj	prononco
level	ĉia	ĉia	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	nenia	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	-id-	<suffix> offspring	grupo	alternativoj	prononco
level	ĉambro	ĉambro	a room, a chamber	grupo	alternativoj	prononco
level	patro	patro	a father	grupo	alternativoj	prononco
level	porko	porko	a pig, swine	grupo	alternativoj	prononco
level	bo-	bo-	<prefix> -in-law, by marriage	grupo	alternativoj	prononco
level	ja	ja	indeed	grupo	alternativoj	prononco
level	-ism-	-ism-	<suffix> -ism	grupo	alternativoj	prononco
level	io	io	something	grupo	alternativoj	prononco
level	veturi	veturi	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	koko	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	libera	free	grupo	alternativoj	prononco
level	lasta	lasta	last	grupo	alternativoj	prononco
level	ĝoji	ĝoji	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	preni	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	bovo	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	alia	another, other, else	grupo	alternativoj	prononco
level	varma	varma	hot, warm	grupo	alternativoj	prononco
level	loĝi	loĝi	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	kredi	to believe	grupo	alternativoj	prononco
level	glacio	glacio	an ice	grupo	alternativoj	prononco
level	loko	loko	a place, a location	grupo	alternativoj	prononco
level	ovo	ovo	an egg	grupo	alternativoj	prononco
level	multa	multa	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	havaĵo	a possession	grupo	alternativoj	prononco
level	ŝafo	ŝafo	a sheep	grupo	alternativoj	prononco
level	sono	sono	a sound	grupo	alternativoj	prononco
level	fiŝo	fiŝo	a fish	grupo	alternativoj	prononco
level	bela	bela	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	respondi	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	fojo	an occasion, a time	grupo	alternativoj	prononco
level	demandi	demandi	to ask	grupo	alternativoj	prononco
level	forta	forta	strong	grupo	alternativoj	prononco
level	preter ~	preter ~	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	silento	a silence	grupo	alternativoj	prononco
level	infano	infano	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	feliĉa	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	kapti	to catch, to capture, to grapple	grupo	alternativoj	prononco
